food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber,meal_type
Gobi masala with 2 rotis,320,52.0,8.5,8.0,3.5,6.0,lunch
Aloo matar with 2 rotis,340,56.0,9.0,7.5,3.5,5.5,lunch
Malai kofta (light) with 2 rotis,380,54.0,10.0,12.0,4.0,4.5,lunch
Shahi paneer (light) with 2 rotis,400,52.0,14.0,13.0,4.5,4.5,lunch
Kadhai paneer (light) with 2 rotis,390,50.0,15.0,13.0,4.0,5.0,lunch
Mutter mushroom with 2 rotis,350,52.0,11.0,10.0,3.5,5.5,lunch
Soya chaap (grilled) with salad (1 plate),300,25.0,20.0,12.0,2.5,6.0,lunch
Stuffed capsicum with 2 rotis,330,52.0,9.0,8.5,4.0,6.0,lunch
"Grilled chicken salad (with light dressing, 1 bowl)",280,10.0,30.0,12.0,4.0,5.0,lunch
"Caesar salad (light dressing, 1 bowl)",250,12.0,15.0,15.0,3.0,4.0,lunch
Greek salad (1 bowl),200,10.0,8.0,14.0,5.0,4.0,lunch
Quinoa salad with vegetables (1 bowl),260,35.0,8.0,9.0,5.0,6.0,lunch
Tuna salad (1 bowl),240,8.0,22.0,12.0,3.0,2.0,lunch
"Chicken wrap (whole wheat, 1 wrap)",320,35.0,25.0,10.0,4.0,5.0,lunch
"Vegetable wrap (whole wheat, 1 wrap)",280,40.0,8.0,9.0,5.0,6.0,lunch
"Turkey sandwich (whole wheat, 1 sandwich)",300,35.0,22.0,8.0,4.0,4.0,lunch
"Club sandwich (whole wheat, 1 sandwich)",350,40.0,20.0,12.0,5.0,4.0,lunch
"Vegetable sandwich (whole wheat, 1 sandwich)",270,42.0,9.0,7.0,5.0,5.0,lunch
Hummus and veggie wrap (1 wrap),300,42.0,10.0,10.0,4.0,7.0,lunch
Falafel wrap (1 wrap),340,45.0,10.0,12.0,5.0,6.0,lunch
"Chicken burger (whole wheat bun, grilled, 1 burger)",350,35.0,28.0,12.0,5.0,4.0,lunch
"Veggie burger (whole wheat bun, 1 burger)",300,40.0,12.0,10.0,6.0,5.0,lunch
"Fish tacos (soft corn tortilla, 2 tacos)",280,30.0,18.0,10.0,3.0,4.0,lunch
Shrimp tacos (2 tacos),260,28.0,20.0,8.0,3.0,3.5,lunch
"Chicken quesadilla (whole wheat, 1 quesadilla)",340,38.0,22.0,12.0,3.5,5.0,lunch
"Bean burrito (whole wheat, 1 burrito)",350,48.0,12.0,10.0,4.0,8.0,lunch
Brown rice bowl with chicken (1 bowl),380,45.0,28.0,10.0,4.0,5.0,lunch
Quinoa bowl with veggies (1 bowl),320,42.0,10.0,11.0,5.0,7.0,lunch
Lentil soup with whole grain bread (1 bowl + 1 slice),250,40.0,12.0,4.0,4.0,8.0,lunch
Minestrone soup (1 bowl),150,22.0,6.0,3.5,5.0,4.5,lunch
Tomato basil soup (1 bowl),120,18.0,3.0,4.0,8.0,2.5,lunch
Pumpkin soup (1 bowl),110,16.0,2.5,4.0,6.0,3.0,lunch
"Broccoli cheddar soup (light, 1 bowl)",160,14.0,8.0,8.0,4.0,3.0,lunch
Chicken noodle soup (1 bowl),130,15.0,10.0,3.5,2.0,1.5,lunch
Vegetable soup (1 bowl),80,12.0,3.0,2.0,4.0,3.5,lunch
Mushroom soup (1 bowl),100,10.0,3.5,5.0,3.0,2.0,lunch
"French onion soup (light, 1 bowl)",90,10.0,4.0,3.0,4.0,1.5,lunch
"Clam chowder (light, 1 bowl)",140,15.0,8.0,5.0,3.0,1.5,lunch
Grilled salmon with asparagus (1 fillet + 1 cup asparagus),350,5.0,35.0,20.0,2.0,3.0,lunch
Baked cod with vegetables (1 fillet + 1 cup veg),280,10.0,30.0,12.0,3.0,3.5,lunch
Herb roasted chicken breast (1 breast + veggies),300,8.0,35.0,12.0,2.0,3.0,lunch
Turkey meatballs with zucchini noodles (1 serving),320,12.0,28.0,16.0,4.0,3.5,lunch
"Spaghetti bolognese (whole wheat, 1 cup pasta + sauce)",380,50.0,22.0,10.0,6.0,6.0,lunch
Pasta primavera (1 cup),280,45.0,8.0,7.0,5.0,5.0,lunch
Penne arrabbiata (1 cup),260,48.0,8.0,5.0,5.0,4.0,lunch
"Vegetable lasagna (light cheese, 1 piece)",320,35.0,15.0,12.0,6.0,5.0,lunch
"Mac and cheese (whole wheat, light, 1 cup)",300,42.0,12.0,10.0,5.0,3.5,lunch
Ratatouille (1 cup),120,15.0,3.0,5.0,7.0,4.0,lunch
"Stuffed bell peppers (quinoa, 2 halves)",250,35.0,8.0,8.0,6.0,6.0,lunch
"Eggplant parmesan (baked, 1 serving)",280,20.0,12.0,15.0,7.0,5.0,lunch
Zucchini lasagna (1 serving),240,15.0,14.0,13.0,5.0,4.0,lunch
Cauliflower steak (1 steak + veggies),180,18.0,6.0,9.0,5.0,5.0,lunch
Portobello mushroom burger (1 burger),250,25.0,8.0,12.0,5.0,4.0,lunch
Chickpea curry (1 bowl),220,30.0,8.0,7.0,5.0,7.0,lunch
Lentil shepherd's pie (1 serving),280,38.0,12.0,8.0,6.0,7.0,lunch
Vegetable stir‑fry with tofu (1 bowl),220,18.0,12.0,10.0,5.0,5.0,lunch
Chicken stir‑fry with broccoli (1 bowl),260,12.0,28.0,10.0,4.0,4.0,lunch
"Beef and broccoli (light sauce, 1 bowl)",280,10.0,30.0,12.0,3.0,3.0,lunch
Shrimp stir‑fry (1 bowl),240,12.0,25.0,9.0,4.0,3.5,lunch
"Sushi rolls (cucumber/avocado, 6 pieces)",250,45.0,5.0,4.0,5.0,3.0,lunch
Sashimi (10 pieces),200,2.0,30.0,8.0,0.5,0.0,lunch
Brown rice sushi (6 pieces),280,50.0,6.0,4.0,4.0,3.5,lunch
"Poke bowl (light sauce, 1 bowl)",350,40.0,25.0,10.0,5.0,4.0,lunch
Buddha bowl (1 bowl),320,40.0,12.0,12.0,6.0,8.0,lunch
Kale and quinoa salad (1 bowl),280,35.0,8.0,11.0,5.0,6.0,lunch
"Chicken fajitas (no tortilla, 1 serving)",250,12.0,28.0,10.0,4.0,4.0,lunch
Steak salad (1 bowl),320,10.0,30.0,16.0,3.0,4.0,lunch
"Cobb salad (light dressing, 1 bowl)",300,12.0,25.0,16.0,3.5,4.0,lunch
Nicoise salad (1 bowl),280,15.0,18.0,15.0,4.0,4.5,lunch
Caprese salad (1 bowl),250,8.0,12.0,18.0,5.0,2.0,lunch
Watermelon feta salad (1 bowl),180,18.0,5.0,10.0,12.0,2.0,lunch
Roasted vegetable salad (1 bowl),200,22.0,5.0,10.0,6.0,5.0,lunch
"Chicken pesto pasta (light, 1 cup)",350,40.0,22.0,12.0,3.0,4.0,lunch
Shrimp scampi with zucchini noodles (1 serving),280,10.0,25.0,14.0,3.0,2.5,lunch
Clams in white wine sauce (1 serving),200,8.0,20.0,8.0,2.0,1.0,lunch
Mussels in tomato sauce (1 serving),220,12.0,22.0,8.0,4.0,2.0,lunch
Grilled octopus (1 serving),200,5.0,25.0,8.0,1.0,0.5,lunch
"Calamari (grilled, 1 serving)",180,6.0,22.0,6.0,1.0,0.5,lunch
"Fish and chips (baked, 1 serving)",350,40.0,20.0,12.0,3.0,4.0,lunch
"Chicken pot pie (light crust, 1 pie)",380,35.0,20.0,16.0,5.0,4.0,lunch
"Shepherd's pie (light, 1 serving)",320,35.0,18.0,12.0,5.0,5.0,lunch
Meatloaf (lean turkey) with mashed potatoes (1 slice + 1/2 cup),350,25.0,28.0,14.0,4.0,3.0,lunch
"Baked ziti (light cheese, 1 cup)",320,42.0,16.0,10.0,6.0,3.5,lunch
"Stuffed shells (ricotta, spinach, 3 shells)",300,30.0,15.0,12.0,5.0,3.0,lunch
Ravioli (whole wheat) with marinara (1 cup),280,45.0,12.0,6.0,5.0,5.0,lunch
Gnocchi with pesto (1 cup),320,48.0,8.0,10.0,2.0,3.0,lunch
Polenta with mushroom ragu (1 cup),240,35.0,6.0,8.0,3.0,4.0,lunch
"Mashed potatoes (with skim milk, 1 cup)",180,35.0,4.0,2.5,2.0,3.0,lunch
"Sweet potato fries (baked, 1 serving)",200,30.0,2.0,7.0,8.0,4.0,lunch
Roasted potatoes with rosemary (1 cup),180,28.0,3.0,6.0,1.5,3.0,lunch
Steamed broccoli (1 cup),55,11.0,4.0,0.6,2.0,5.0,lunch
Glazed carrots (1 cup),100,20.0,1.5,2.5,12.0,4.0,lunch
Sautéed green beans (1 cup),80,10.0,2.0,3.5,3.0,4.0,lunch
Cauliflower rice (1 cup),25,5.0,2.0,0.3,2.0,2.5,lunch
Zucchini noodles (1 cup),30,5.0,1.5,0.4,3.0,1.5,lunch
Spaghetti squash (1 cup),42,10.0,1.0,0.4,4.0,2.0,lunch
Butternut squash soup (1 bowl),120,22.0,2.0,3.0,6.0,4.0,lunch
Corn on the cob (1 ear),80,18.0,2.5,1.0,4.0,2.0,lunch
Grilled asparagus (1 cup),40,5.0,4.0,2.0,2.0,3.0,lunch
Roasted Brussels sprouts (1 cup),90,14.0,4.0,3.5,3.0,4.5,lunch
Kale chips (1 cup),50,6.0,3.0,2.0,1.0,2.5,lunch
"Coleslaw (light dressing, 1 cup)",100,12.0,2.0,5.0,8.0,3.0,lunch
"Potato salad (light, 1 cup)",180,25.0,3.0,7.0,4.0,2.5,lunch
"Pasta salad (light, 1 cup)",200,30.0,5.0,6.0,4.0,2.0,lunch
Fruit salad (1 cup),80,20.0,1.0,0.5,15.0,3.0,lunch
Cottage cheese with pineapple (1 cup),150,12.0,15.0,5.0,10.0,1.0,lunch
Yogurt parfait (1 cup),180,25.0,8.0,5.0,15.0,2.0,lunch
Chia pudding (1 cup),180,15.0,6.0,10.0,5.0,8.0,lunch
Smoothie bowl (1 bowl),200,35.0,6.0,4.0,20.0,5.0,lunch
Whole wheat roti (1 piece),80,15.0,2.5,0.5,0.2,2.5,dinner
Jowar roti (1 piece),85,17.0,2.5,0.5,0.2,3.0,dinner
Bajra roti (1 piece),90,17.0,2.8,1.0,0.3,3.5,dinner
Ragi roti (1 piece),85,17.5,2.5,0.6,0.2,4.0,dinner
Multigrain roti (1 piece),85,16.0,3.0,0.8,0.3,3.5,dinner
Missi roti (1 piece),95,16.0,4.0,1.5,0.5,3.0,dinner
Makki ki roti (1 piece),100,19.0,2.5,1.5,0.5,3.0,dinner
"Naan (whole wheat, 1 piece)",160,28.0,5.0,3.0,1.5,2.5,dinner
Tandoori roti (1 piece),90,17.0,2.8,0.8,0.3,2.0,dinner
"Kulcha (whole wheat, 1 piece)",150,26.0,4.5,3.0,1.2,2.5,dinner
Plain basmati rice (1 cup cooked),200,44.0,4.0,0.4,0.1,0.5,dinner
Brown rice (1 cup cooked),215,45.0,5.0,1.8,0.5,3.5,dinner
Jeera rice (1 cup),240,48.0,4.5,3.5,0.5,1.5,dinner
"Vegetable biryani (light, 1 plate)",380,65.0,8.0,8.0,4.0,4.5,dinner
"Chicken biryani (light, 1 plate)",420,60.0,18.0,10.0,3.5,3.0,dinner
"Egg biryani (light, 1 plate)",390,62.0,14.0,9.0,3.0,3.0,dinner
"Prawn biryani (light, 1 plate)",400,60.0,16.0,10.0,3.0,3.0,dinner
"Mutton biryani (light, 1 plate)",450,58.0,20.0,14.0,3.0,2.5,dinner
Khichdi (1 bowl),220,38.0,7.0,4.0,1.5,3.5,dinner
Quinoa khichdi (1 bowl),210,34.0,7.5,4.0,1.5,4.5,dinner
Oats khichdi (1 bowl),200,32.0,7.0,3.5,1.5,4.0,dinner
Bajra khichdi (1 bowl),215,38.0,6.5,3.5,1.0,4.5,dinner
Ragi khichdi (1 bowl),210,40.0,6.0,3.0,1.0,5.0,dinner
"Pulao (mixed vegetable, 1 cup)",230,42.0,5.5,4.0,3.0,3.0,dinner
Peas pulao (1 cup),235,44.0,6.0,4.0,2.5,4.0,dinner
Mushroom pulao (1 cup),240,40.0,6.5,5.0,2.0,3.5,dinner
Soya pulao (1 cup),250,38.0,10.0,6.0,2.5,4.0,dinner
Paneer pulao (1 cup),280,40.0,10.0,8.0,2.0,2.5,dinner
Curd rice (1 bowl),210,38.0,6.0,4.0,3.5,1.5,dinner
Lemon rice (1 cup),220,44.0,4.0,3.0,1.0,2.0,dinner
Moong dal tadka (1 bowl),150,22.0,9.0,3.5,1.5,5.0,dinner
Masoor dal (1 bowl),140,21.0,8.5,3.0,1.5,4.5,dinner
Toor dal (1 bowl),145,22.0,8.0,3.0,2.0,5.0,dinner
Urad dal (1 bowl),160,20.0,9.0,4.0,1.5,4.5,dinner
Chana dal (1 bowl),170,24.0,8.5,4.0,2.5,5.5,dinner
Mixed dal (1 bowl),155,22.0,9.0,3.5,2.0,5.0,dinner
"Dal makhani (light, 1 bowl)",180,22.0,8.0,6.0,2.5,5.0,dinner
Sambar (1 bowl),100,15.0,5.0,2.5,3.0,4.0,dinner
Rasam (1 bowl),40,6.0,2.0,0.5,1.5,1.5,dinner
Dal dhokli (1 bowl),200,30.0,7.0,4.0,2.5,4.0,dinner
Kadhi (1 bowl),130,10.0,5.0,6.0,4.0,1.5,dinner
Punjabi chole (1 bowl),190,28.0,8.0,5.0,3.5,7.0,dinner
Rajma (1 bowl),180,25.0,8.0,4.0,2.5,6.5,dinner
Lobia curry (1 bowl),170,25.0,8.0,3.0,2.5,6.0,dinner
Kala chana curry (1 bowl),185,28.0,8.5,3.5,3.0,7.0,dinner
"Aloo gobi (dry, 1 bowl)",130,15.0,3.0,5.5,2.5,3.5,dinner
Bhindi masala (1 bowl),120,10.0,2.5,6.0,3.0,4.0,dinner
Baingan bharta (1 bowl),100,12.0,2.5,4.5,5.0,5.0,dinner
"Mix vegetable curry (dry, 1 bowl)",110,15.0,3.0,4.0,4.0,4.0,dinner
Lauki curry (1 bowl),70,11.0,2.0,1.5,3.5,3.0,dinner
Karela curry (1 bowl),80,10.0,2.5,2.5,2.5,4.0,dinner
Methi aloo (1 bowl),125,15.0,3.0,5.0,3.0,4.0,dinner
Drumstick curry (1 bowl),90,10.0,3.0,3.5,3.0,5.0,dinner
"Cabbage curry (dry, 1 bowl)",75,10.0,2.0,2.0,3.5,3.5,dinner
"Cauliflower curry (dry, 1 bowl)",85,9.0,3.0,3.5,2.5,3.5,dinner
Beans thoran (1 bowl),110,10.0,3.0,6.0,2.5,5.0,dinner
Avial (1 bowl),130,12.0,3.5,7.0,3.5,5.0,dinner
Erissery (1 bowl),120,14.0,3.0,6.0,4.0,4.0,dinner
Olan (1 bowl),90,10.0,2.5,4.0,3.0,3.0,dinner
Kootu (1 bowl),130,18.0,6.0,3.5,3.0,5.0,dinner
Poricha kootu (1 bowl),120,17.0,5.5,3.0,2.5,4.5,dinner
Puli kuzhambu (1 bowl),90,10.0,2.5,3.5,3.0,2.5,dinner
"Potato curry (dry, 1 bowl)",140,22.0,2.5,4.5,1.5,2.5,dinner
Green beans stir‑fry (1 bowl),80,10.0,2.5,3.0,2.5,4.0,dinner
Spinach curry (1 bowl),70,8.0,3.5,2.5,1.5,4.5,dinner
"Palak paneer (light, 1 bowl)",180,10.0,10.0,9.0,3.0,4.0,dinner
"Matar paneer (light, 1 bowl)",200,12.0,10.0,10.0,3.5,3.5,dinner
"Shahi paneer (light, 1 bowl)",210,11.0,11.0,12.0,5.0,2.5,dinner
"Kadhai paneer (light, 1 bowl)",200,10.0,12.0,11.0,4.0,3.0,dinner
"Paneer butter masala (light, 1 bowl)",210,10.0,11.0,12.0,5.0,2.5,dinner
Paneer do pyaza (1 bowl),190,9.0,11.0,10.0,4.0,3.0,dinner
Paneer bhurji (1 bowl),180,5.0,15.0,11.0,2.0,1.0,dinner
Tofu matar (1 bowl),170,10.0,12.0,8.0,3.0,3.5,dinner
Tofu palak (1 bowl),160,8.0,12.0,7.0,2.5,4.0,dinner
Tofu curry (1 bowl),170,9.0,11.0,8.0,3.0,3.0,dinner
"Paneer tikka (without heavy oil, 4 pieces)",220,6.0,18.0,13.0,2.5,1.5,dinner
Grilled paneer (100g),200,5.0,18.0,12.0,1.5,1.0,dinner
"Tandoori chicken (without skin, 2 pieces)",180,2.0,28.0,6.0,0.5,0.2,dinner
"Chicken curry (low oil, 1 bowl)",200,5.0,22.0,9.0,2.0,1.5,dinner
Chicken stew (1 bowl),180,6.0,20.0,8.0,2.5,1.5,dinner
"Pepper chicken (dry, 1 bowl)",200,4.0,25.0,8.5,0.5,0.5,dinner
Chicken do pyaza (1 bowl),210,6.0,23.0,9.0,2.5,1.0,dinner
"Egg curry (2 eggs, 1 bowl)",190,6.0,11.0,12.0,2.5,2.0,dinner
"Fish curry (south Indian, 1 bowl)",170,5.0,20.0,7.0,2.0,1.5,dinner
Fish moilee (1 bowl),190,5.0,18.0,10.0,2.5,1.0,dinner
"Prawn curry (light, 1 bowl)",180,6.0,17.0,8.0,2.5,1.5,dinner
Tandoori fish (1 piece),150,2.0,23.0,5.0,0.5,0.2,dinner
"Grilled fish (spiced, 1 piece)",140,1.0,24.0,4.5,0.2,0.1,dinner
"Mutton curry (low oil, 1 bowl)",230,5.0,22.0,12.0,2.0,1.5,dinner
"Keema curry (low oil, 1 bowl)",220,5.0,20.0,12.0,2.0,1.5,dinner
"Chicken lollipop (baked, 2 pieces)",210,6.0,22.0,10.0,1.5,0.5,dinner
"Chicken 65 (baked, 1 bowl)",200,5.0,24.0,9.0,1.5,0.5,dinner
"Anda bhurji (2 eggs, 1 bowl)",190,3.5,14.0,13.0,1.5,0.5,dinner
Egg masala (2 boiled eggs in gravy),200,5.0,11.0,14.0,2.5,1.0,dinner
"Fish tikka (baked, 2 pieces)",160,2.5,22.0,6.0,0.8,0.3,dinner
"Chicken tikka (without cream, 2 pieces)",170,2.0,25.0,6.5,0.5,0.2,dinner
"Malai chicken (light, 1 bowl)",190,4.0,23.0,8.0,2.0,0.5,dinner
"Chicken korma (light, 1 bowl)",200,6.0,22.0,9.0,3.0,1.0,dinner
Prawn masala (1 bowl),190,5.0,18.0,9.0,2.5,1.5,dinner
"Fish fry (minimal oil, 1 piece)",150,2.0,21.0,6.0,0.5,0.2,dinner
"Mutton rogan josh (light, 1 bowl)",210,5.0,21.0,11.0,2.0,1.0,dinner
Chicken saagwala (1 bowl),180,5.0,22.0,7.0,2.0,2.5,dinner
2 rotis + dal + sabzi (1 plate),400,65.0,15.0,8.0,4.0,10.0,dinner
2 rotis + chole (1 plate),450,70.0,14.0,10.0,4.5,9.0,dinner
2 rotis + rajma (1 plate),430,68.0,14.0,9.0,4.0,9.5,dinner
2 rotis + paneer sabzi (1 plate),450,60.0,16.0,14.0,4.0,7.0,dinner
2 rotis + chicken curry (1 plate),480,55.0,28.0,16.0,3.5,6.0,dinner
2 rotis + fish curry (1 plate),450,55.0,26.0,14.0,3.5,5.5,dinner
1 cup rice + dal + sabzi (1 plate),420,75.0,13.0,6.0,4.0,8.0,dinner
1 cup rice + sambar + poriyal (1 plate),380,70.0,11.0,5.0,5.0,6.0,dinner
1 cup rice + rasam + curd (1 plate),320,60.0,8.0,4.0,4.0,3.0,dinner
Vegetable biryani + raita (1 plate),450,75.0,10.0,10.0,5.0,5.0,dinner
Chicken biryani + raita (1 plate),500,70.0,22.0,13.0,4.5,4.0,dinner
Egg biryani + raita (1 plate),470,72.0,18.0,12.0,4.0,4.0,dinner
Prawn biryani + raita (1 plate),480,70.0,20.0,13.0,4.0,4.0,dinner
Khichdi + papad + pickle (1 plate),300,50.0,9.0,6.0,2.5,5.0,dinner
Quinoa khichdi + salad (1 plate),280,42.0,9.0,6.0,3.0,6.0,dinner
Oats khichdi + raita (1 plate),270,40.0,8.5,5.5,2.5,5.5,dinner
Missi roti + besan chilla + salad (1 plate),380,55.0,14.0,10.0,3.5,8.0,dinner
Stuffed paratha (1) + curd (1 bowl),320,42.0,8.0,12.0,3.0,5.0,dinner
Thepla (2) + chunda (1 tbsp) + curd,350,55.0,9.0,9.0,6.0,6.0,dinner
Roti + saag + makhan (light),380,55.0,10.0,11.0,3.0,8.0,dinner
Grilled salmon (6 oz) with steamed broccoli,400,10.0,40.0,22.0,2.0,3.0,dinner
Grilled chicken breast (6 oz) with quinoa (1 cup),450,35.0,45.0,12.0,2.5,4.0,dinner
"Beef steak (lean, 4 oz) with roasted potatoes",500,30.0,35.0,22.0,2.0,3.5,dinner
"Pork chop (lean, 4 oz) with apple sauce",420,20.0,30.0,22.0,8.0,2.0,dinner
Lamb chops (3 oz) with mint sauce and veggies,380,8.0,25.0,26.0,3.0,2.5,dinner
Roasted turkey breast (4 oz) with cranberry sauce,300,15.0,35.0,8.0,8.0,1.5,dinner
Baked salmon with dill and asparagus,380,5.0,38.0,22.0,2.0,2.5,dinner
Grilled shrimp skewers (8 pcs) with quinoa,350,25.0,30.0,12.0,2.0,3.0,dinner
Lobster tail (1) with butter (light) and salad,300,5.0,28.0,18.0,1.0,2.0,dinner
Scallops (6) with lemon butter sauce and veggies,280,8.0,25.0,15.0,2.0,2.0,dinner
"Spaghetti with meatballs (whole wheat, 1 cup)",420,55.0,22.0,12.0,6.0,6.0,dinner
"Fettuccine Alfredo (light, 1 cup)",380,45.0,15.0,14.0,4.0,3.0,dinner
"Lasagna (vegetable, light cheese, 1 piece)",350,40.0,16.0,12.0,6.0,5.0,dinner
"Lasagna (meat, light cheese, 1 piece)",400,38.0,22.0,16.0,5.0,4.0,dinner
Ravioli (whole wheat) with marinara (1 cup),320,50.0,14.0,7.0,5.0,5.0,dinner
Gnocchi with pesto (1 cup),350,52.0,8.0,12.0,2.0,3.0,dinner
"Mac and cheese (whole wheat, light, 1 cup)",300,42.0,12.0,10.0,5.0,3.5,dinner
Chicken parmesan (light) with spaghetti,450,48.0,32.0,14.0,6.0,4.0,dinner
Eggplant parmesan (baked) with salad,350,30.0,14.0,18.0,8.0,5.0,dinner
Vegetable stir‑fry with tofu (1 bowl),250,20.0,12.0,12.0,5.0,5.0,dinner
Chicken stir‑fry with broccoli (1 bowl),280,15.0,30.0,10.0,4.0,4.0,dinner
"Beef and broccoli (light sauce, 1 bowl)",300,12.0,32.0,12.0,3.0,3.0,dinner
Shrimp stir‑fry (1 bowl),260,14.0,28.0,9.0,4.0,3.5,dinner
Tofu and vegetable curry (1 bowl),220,18.0,12.0,10.0,4.0,4.0,dinner
Chickpea curry (1 bowl),220,30.0,8.0,7.0,5.0,7.0,dinner
Lentil soup with whole grain bread (1 bowl + 1 slice),250,40.0,12.0,4.0,4.0,8.0,dinner
Minestrone soup with bread (1 bowl + 1 slice),220,35.0,8.0,5.0,5.0,5.0,dinner
Tomato basil soup with grilled cheese (half sandwich),300,40.0,10.0,10.0,10.0,3.0,dinner
Pumpkin soup (1 bowl),120,18.0,3.0,4.0,6.0,3.0,dinner
"Broccoli cheddar soup (light, 1 bowl)",180,16.0,9.0,9.0,4.0,3.0,dinner
"French onion soup (light, 1 bowl)",120,12.0,5.0,4.0,5.0,1.5,dinner
"Clam chowder (light, 1 bowl)",160,18.0,9.0,6.0,3.0,1.5,dinner
Caesar salad with grilled chicken (light dressing),300,12.0,30.0,14.0,3.0,3.0,dinner
Greek salad with grilled shrimp,280,10.0,25.0,15.0,4.0,4.0,dinner
Cobb salad (light dressing),320,12.0,28.0,18.0,3.5,4.0,dinner
Nicoise salad (1 bowl),300,18.0,20.0,16.0,4.0,4.5,dinner
Caprese salad with balsamic (1 bowl),250,8.0,12.0,18.0,5.0,2.0,dinner
Quinoa salad with roasted veggies (1 bowl),280,38.0,8.0,10.0,5.0,6.0,dinner
Buddha bowl (1 bowl),350,45.0,12.0,12.0,6.0,8.0,dinner
"Sushi platter (12 pieces, assorted)",450,80.0,18.0,6.0,8.0,3.0,dinner
Sashimi platter (15 pieces),300,3.0,45.0,12.0,0.5,0.0,dinner
"Poke bowl (light sauce, 1 bowl)",380,45.0,25.0,10.0,5.0,4.0,dinner
"Burger (lean beef, whole wheat bun) with side salad",450,35.0,30.0,20.0,6.0,4.0,dinner
Veggie burger (whole wheat bun) with sweet potato fries,420,55.0,12.0,16.0,8.0,7.0,dinner
Chicken wrap (whole wheat) with side salad,380,40.0,28.0,12.0,5.0,5.0,dinner
Falafel wrap (whole wheat) with hummus,400,52.0,12.0,15.0,5.0,7.0,dinner
"Quesadilla (whole wheat, chicken/veggie) with salsa",360,40.0,20.0,14.0,4.0,5.0,dinner
"Tacos (2, soft corn tortilla, fish/chicken) with slaw",300,30.0,18.0,12.0,3.0,4.0,dinner
"Enchiladas (2, chicken, light cheese) with beans",400,45.0,25.0,14.0,5.0,6.0,dinner
Chili con carne (1 bowl) with cornbread,450,50.0,25.0,16.0,8.0,8.0,dinner
Vegetarian chili (1 bowl) with rice,350,55.0,12.0,8.0,6.0,9.0,dinner
Ratatouille (1 bowl) with quinoa,280,35.0,6.0,10.0,8.0,6.0,dinner
"Stuffed bell peppers (2 halves, quinoa/veg)",250,35.0,8.0,8.0,6.0,6.0,dinner
Portobello mushroom burger (1) with fries (baked),350,40.0,10.0,16.0,5.0,5.0,dinner
Cauliflower steak (1) with chimichurri,200,20.0,6.0,10.0,5.0,5.0,dinner
Zucchini noodles with pesto and cherry tomatoes,220,12.0,5.0,16.0,5.0,3.0,dinner
Spaghetti squash with marinara (1 cup),150,18.0,3.0,7.0,6.0,4.0,dinner
Mashed cauliflower (1 cup) with gravy,100,10.0,3.0,5.0,3.0,3.0,dinner
Roasted Brussels sprouts with bacon (1 cup),200,15.0,6.0,12.0,4.0,4.0,dinner
Grilled asparagus with parmesan (1 cup),120,6.0,6.0,8.0,2.0,3.0,dinner
Honey glazed carrots (1 cup),130,22.0,2.0,4.0,14.0,4.0,dinner
Green beans almondine (1 cup),150,10.0,3.0,10.0,4.0,4.0,dinner
"Creamed spinach (light, 1 cup)",160,10.0,6.0,10.0,3.0,3.5,dinner
"Mashed potatoes (with skim milk, 1 cup)",180,35.0,4.0,2.5,2.0,3.0,dinner
Sweet potato mash (1 cup),200,40.0,3.0,4.0,12.0,5.0,dinner
Roasted potatoes with rosemary (1 cup),180,28.0,3.0,6.0,1.5,3.0,dinner
Polenta (1 cup) with mushroom ragu,240,35.0,6.0,8.0,3.0,4.0,dinner
"Risotto (mushroom, light, 1 cup)",280,48.0,7.0,6.0,2.0,2.5,dinner
"Paella (seafood, 1 cup)",350,50.0,18.0,8.0,3.0,2.5,dinner
"Jambalaya (chicken, sausage, 1 cup)",320,40.0,18.0,10.0,4.0,2.5,dinner
"Gumbo (seafood, 1 cup)",250,20.0,15.0,12.0,3.0,2.5,dinner
"Bouillabaisse (fish stew, 1 bowl)",280,12.0,25.0,14.0,4.0,2.0,dinner
"Cioppino (seafood stew, 1 bowl)",300,15.0,28.0,14.0,4.0,2.5,dinner
"Shepherd's pie (light, 1 serving)",340,38.0,20.0,12.0,5.0,5.0,dinner
"Pot pie (chicken, light crust, 1 pie)",400,38.0,22.0,16.0,5.0,4.0,dinner
Meatloaf (lean turkey) with gravy (1 slice),280,12.0,25.0,14.0,4.0,2.0,dinner
Roasted chicken (1/4 chicken) with vegetables,350,10.0,35.0,18.0,3.0,3.0,dinner
Roasted turkey (4 oz) with gravy and stuffing (light),380,25.0,30.0,16.0,4.0,3.0,dinner
"Ham (lean, 4 oz) with pineapple salsa",250,10.0,25.0,10.0,6.0,1.0,dinner
Cornish hen (1/2 hen) with wild rice,400,30.0,30.0,16.0,2.0,2.5,dinner
Duck breast (4 oz) with cherry sauce,380,15.0,25.0,22.0,8.0,1.5,dinner
Venison steak (4 oz) with red wine reduction,300,5.0,35.0,12.0,2.0,1.0,dinner
"Bison burger (lean, whole wheat bun) with salad",400,30.0,35.0,16.0,4.0,4.0,dinner
Turkey burger (whole wheat bun) with sweet potato fries,420,45.0,30.0,14.0,6.0,5.0,dinner
Salmon burger (whole wheat bun) with dill sauce,380,30.0,28.0,16.0,4.0,3.0,dinner
"Fish and chips (baked, 1 serving)",380,45.0,22.0,12.0,3.0,4.0,dinner
